Run Number,Problem Rate,Replan,Runtime (s),Had Failure,Successful Termination
181,75,True,2.47,False,True
182,75,True,2.47,False,True
183,75,True,2.47,True,True
184,75,True,2.47,False,True
185,75,True,2.52,True,True
186,75,True,2.47,False,True
187,75,True,2.52,True,True
188,75,True,2.42,False,True
189,75,True,4.34,True,True
190,75,True,2.47,True,True
191,75,True,2.52,True,True
192,75,True,2.27,True,True
193,75,True,2.47,True,True
194,75,True,2.47,True,True
195,75,True,2.47,False,True
196,75,True,4.41,True,True
197,75,True,2.52,True,True
198,75,True,2.47,True,True
199,75,True,2.47,True,True
200,75,True,2.47,True,True
201,75,True,2.47,True,True
202,75,True,2.47,True,True
203,75,True,2.52,True,True
204,75,True,2.57,True,True
205,75,True,2.52,True,True
206,75,True,5.18,False,True
207,75,True,2.52,True,True
208,75,True,2.52,True,True
209,75,True,2.52,True,True
210,75,True,4.36,True,True
